class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9901020109536351,0.9965634172256959,0.9933222065904106,0.03455153542110064,0.9998249986106179,0.9994310163721223
DoS,35502,0.9944633730834753,0.9207931947495915,0.9562114253956182,0.0005483744614179397,0.9979765154805288,0.9997597316084578
DDoS,19029,0.9995797657193886,1.0,0.9997898387012032,2.2964551344430952e-05,0.9999999972384986,0.9999999998491476
PortScan,18124,0.9490582865536961,0.9981240344294857,0.972972972972973,0.0027801000950559455,0.9945733365478958,0.999665306491609
BruteForce,1394,0.9865248226950355,0.9978479196556671,0.9921540656205421,5.191285198279772e-05,0.9990408059301837,0.9999913739914832
WebAttack,411,0.48721071863581,0.9732360097323601,0.6493506493506493,0.0011471983563181745,0.9421169838764382,0.9998627785519316
Bot,387,0.8524229074889867,1.0,0.920332936979786,0.0001825588207245133,0.9978185065657335,0.9999976554403448
Infiltration,7378,0.954091518855269,0.8675792897804283,0.9087811457372045,0.0008555222852444628,0.9666152191558094,0.9991146292475059
