class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9901876643931049,0.999333723747839,0.9947396713254493,0.03434478564913347,0.9999125819255643,0.9996966388600489
DoS,35502,0.9994192266544398,0.9209621993127147,0.9585880352404825,5.7247883334839854e-05,0.9992607103879708,0.9999242848795722
DDoS,19029,1.0,1.0,1.0,0.0,1.0,1.0
PortScan,18124,0.974771154275508,0.9635841977488413,0.9691453940066592,0.0012941351626830973,0.9956329817020884,0.9998090761354136
BruteForce,1394,0.9978510028653295,0.9992826398852224,0.9985663082437276,8.196766102547009e-06,0.9999938774385652,0.9999999764798675
WebAttack,411,0.806841046277666,0.975669099756691,0.8832599118942731,0.00026159392448110393,0.9849441451235528,0.9999576408256409
Bot,387,0.9897435897435898,0.9974160206718347,0.9935649935649936,1.089903407310527e-05,0.9999735654288677,0.9999999718371213
Infiltration,7378,0.9070345188284519,0.9402277039848197,0.9233328896579263,0.001974923197431211,0.9812036244212058,0.9993886848829707
