class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9901696268902894,0.9999544126774838,0.9950379654960638,0.03442991790817878,0.9999277030388488,0.9997488586011618
DoS,35502,0.999938856618771,0.9213002084389612,0.9590101448425496,6.026092982614721e-06,0.9989780737612519,0.999893632805067
DDoS,19029,1.0,1.0,1.0,0.0,1.0,1.0
PortScan,18124,0.9728501773049646,0.9687706907967336,0.9708061484020789,0.001402934136536986,0.9953606996237723,0.9997732287856529
BruteForce,1394,1.0,0.9992826398852224,0.9996411912450663,0.0,1.0,1.0
WebAttack,411,0.9848866498740554,0.9513381995133819,0.9678217821782178,1.6349620280068996e-05,0.9919197767496886,0.9999805276420265
Bot,387,1.0,0.9922480620155039,0.9961089494163424,0.0,0.9999933402594635,0.9999999929592803
Infiltration,7378,0.9246575342465754,0.9331797235023042,0.9288990825688074,0.0015582727338381286,0.9828106099837041,0.999517524448008
