class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.983315146107993,0.9700947164293203,0.9766601941747572,0.057087260565521436,0.9977100365967557,0.9926454606864211
DoS,35502,0.9091202630111251,0.8723733874147935,0.8903678362489039,0.00932839193708759,0.9555362729116057,0.9924452583930432
DDoS,19029,0.9768532838436952,0.995795890482947,0.9862336378067504,0.0012888854442061873,0.9992424771764418,0.9998198762128225
PortScan,18124,0.9461895807985842,0.9439969101743545,0.9450919737060156,0.002785826356837729,0.987761932266688,0.9990914106719073
BruteForce,1394,0.6616939364773821,0.9863701578192252,0.7920506912442397,0.0019207755233635157,0.9861435003640225,0.9977181394857211
WebAttack,411,0.12193568927093282,0.9318734793187348,0.21565315315315314,0.007515375455405048,0.5026743742455436,0.9921799487739744
Bot,387,0.31762652705061084,0.9405684754521964,0.4748858447488584,0.0021307611612920805,0.9142259566112227,0.9936613315965287
Infiltration,7378,0.811709831839941,0.8963133640552995,0.8519162640901772,0.00426094540767859,0.9455842362043981,0.9950967914980771
