model,accuracy,macro_f1,balanced_accuracy,mcc,macro_fpr,macro_pr_auc
XGBoost,0.9891641625293964,0.977769670577154,0.9745545251042764,0.971537480684833,0.0046824973924891,0.9968614367439996
RandomForest,0.9894118543680864,0.9771656580186407,0.9707592421036988,0.9721923939653382,0.004676687561477,0.9961237754270912
MLP,0.9895125642365648,0.9741621203025383,0.9636055606411332,0.9724734078917412,0.0046858140610067,0.992814724361305
1D-CNN,0.9830861858723108,0.9365564482388034,0.9054014704220815,0.9554598246090484,0.007186247165928421,0.975315191186177
