class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9999578855751076,0.9991548811748905,0.9995562220994378,0.0001459410155062329,0.9999935506346745,0.9999796359211568
DoS,35502,0.998537189152695,0.9998309954368768,0.9991836734693877,0.00015667841754798275,0.9999084755408995,0.9999948181065963
DDoS,19029,1.0,1.0,1.0,0.0,1.0,1.0
PortScan,18124,0.9749425416222882,0.9596115647759876,0.967216305647471,0.0012798195082286382,0.9960678515131598,0.9998101149761077
BruteForce,1394,0.9964260185847034,1.0,0.9982098102398854,1.3661276837578347e-05,0.9999969178938486,0.9999999882399339
WebAttack,411,0.7792706333973128,0.9878345498783455,0.871244635193133,0.00031336772203465575,0.9876060750976159,0.9999592850696918
Bot,387,0.9602977667493796,1.0,0.979746835443038,4.359613629242108e-05,0.9999933402594634,0.9999999929592803
Infiltration,7378,0.8994167206740117,0.9404987801572242,0.9194991055456172,0.0021554717316548803,0.9828765111118003,0.999521097243616
