class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9996684326741963,0.9938316845918357,0.9967415139562733,0.001143204621465491,0.9999305353668754,0.9997598084293127
DoS,35502,0.986348597325326,0.9992676468931327,0.992766094390575,0.001479405827231914,0.9991681346769403,0.9999122604884559
DDoS,19029,0.9995796332299932,0.999684691786221,0.9996321597477666,2.2964551344430952e-05,0.999993578090093,0.99999965243624
PortScan,18124,0.9752151462994837,0.937872434341205,0.956179332845812,0.001236872544865261,0.9943924888301446,0.9996094093268841
BruteForce,1394,0.9921090387374462,0.9921090387374462,0.9921090387374462,3.0054809042672365e-05,0.9984169353107806,0.999981081973596
WebAttack,411,0.32634971796937956,0.9854014598540146,0.49031476997578693,0.0022780470923562802,0.9630490317249454,0.9998575673590929
Bot,387,0.7,0.9948320413436692,0.8217716115261473,0.00044958515551559244,0.9972345204368117,0.9999960571969762
Infiltration,7378,0.8455962305183037,0.9486310653293576,0.8941552219738103,0.003549861949813063,0.9735402330146864,0.9990007278458554
