class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9901847072305061,0.9969070755031262,0.9935345204186835,0.034271815141380356,0.9996304632889258,0.9987586760262328
DoS,35502,0.9955550143092005,0.9210748690214636,0.9568677942295313,0.0004399047877308747,0.9973273242871753,0.9996875708338994
DDoS,19029,0.9984259405005509,1.0,0.9992123503465659,8.611706754161607e-05,1.0,1.0
PortScan,18124,0.9682731364584477,0.9732950783491503,0.9707776126795443,0.0016548896549354651,0.99517934623678,0.9997094267320153
BruteForce,1394,0.9893314366998578,0.9978479196556671,0.9935714285714285,4.0983830512735044e-05,0.9999429468148856,0.9999997804787653
WebAttack,411,0.43991179713340683,0.9708029197080292,0.6054628224582701,0.0013842678503791749,0.9309971507699283,0.9998452786238177
Bot,387,0.8775510204081632,1.0,0.9347826086956522,0.00014713695998692117,0.9092044088442245,0.9999537389513066
Infiltration,7378,0.9187803561791689,0.9230143670371375,0.920892494929006,0.0016721571938869044,0.9734568195612603,0.9991666476832881
