class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9901713295592035,0.9298270837789786,0.9590509173440877,0.03200972940103375,0.9968211482194433,0.9894322322082013
DoS,35502,0.7874903993855606,0.9241732860120556,0.8503745172744474,0.026677513634035373,0.9295862475719383,0.9880287160559185
DDoS,19029,0.9549064950733963,0.9982132534552525,0.9760797512910768,0.0025749003194943205,0.9994395451883054,0.9999693988513388
PortScan,18124,0.8783066181532108,0.9855992054734054,0.9288648536217565,0.007086248954957225,0.9616107103491864,0.99849334553469
BruteForce,1394,0.6931645569620253,0.9820659971305595,0.8127040664885723,0.0016557467527144958,0.9861594274146442,0.9992043100046576
WebAttack,411,0.06038961038961039,0.9051094890510949,0.11322477552883883,0.01577193369683989,0.2785698532531678,0.9951478258608442
Bot,387,0.15858287642345,0.9715762273901809,0.2726613488034808,0.005435893243961254,0.8900974207175911,0.9993772413031006
Infiltration,7378,0.85494169905608,0.8347790729194904,0.844740090522562,0.0029026648963651415,0.922395268950625,0.9915922741223235
