class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9902202955829553,0.9980853324543162,0.994137258360563,0.034186682882335055,0.9898105039520653,0.9819493247859905
DoS,35502,0.9938305373206905,0.9211030364486508,0.956085723474549,0.0006116484377353943,0.9230443348741274,0.9602456940054577
DDoS,19029,0.9996322756881698,1.0,0.9998161040325758,2.0093982426377085e-05,0.9996322756881698,0.9999899530087868
PortScan,18124,0.9707470747074708,0.9521077024939307,0.9613370473537605,0.0014888280632637401,0.9523912774949439,0.9849265562030117
BruteForce,1394,0.9964209019327129,0.9985652797704447,0.9974919383733429,1.3661276837578347e-05,0.9949967604842329,0.9992758092468036
WebAttack,411,0.7690839694656488,0.9805352798053528,0.8620320855614974,0.00032971734231472473,0.7541357403005093,0.9901027812315191
Bot,387,0.9602977667493796,1.0,0.979746835443038,4.359613629242108e-05,0.9602977667493796,0.9999782019318537
Infiltration,7378,0.8762626262626263,0.9406343182434264,0.9073081448555367,0.0027221163621414723,0.8791220279169685,0.9817038736948731
