class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9852304329178023,0.9988462900686265,0.9919916416351051,0.05193067801763454,0.9991716764959356,0.997302956016567
DoS,35502,0.9997151898734177,0.889837192270858,0.9415814729814312,2.7117418421766248e-05,0.9709028387709058,0.995375349184565
DDoS,19029,0.9996813764537199,0.989279520731515,0.9944532488114105,1.7223413508323215e-05,0.9998604274346493,0.9999870013567433
PortScan,18124,0.9072718154463391,0.998179209887442,0.9505569567044977,0.005293929017258953,0.9929221581578985,0.9996006362887877
BruteForce,1394,0.9970951343500363,0.9849354375896701,0.9909779862865391,1.0929021470062678e-05,0.9965931618367386,0.9995749402492599
WebAttack,411,0.9471947194719472,0.6982968369829684,0.803921568627451,4.359898741351732e-05,0.9060884727939075,0.9995813012084643
Bot,387,0.9914040114613181,0.8940568475452196,0.9402173913043478,8.174275554828953e-06,0.9837372927308669,0.9999846230682069
Infiltration,7378,0.9903127124405167,0.7897804283003524,0.8787513195596441,0.00015832717616537134,0.9532455012685142,0.9970549419448724
