class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9901207731146129,0.9998807716180343,0.9949768383218907,0.03460018242626938,0.9998499716571615,0.9995237410522244
DoS,35502,0.999388902468834,0.9213002084389612,0.9587571449509014,6.026092982614722e-05,0.9962331218104451,0.999593657555977
DDoS,19029,1.0,1.0,1.0,0.0,1.0,1.0
PortScan,18124,0.949274223130535,0.9995034208783933,0.9737415002553284,0.00277151070238327,0.9954260704492703,0.9996738401192629
BruteForce,1394,0.9992805755395684,0.996413199426112,0.9978448275862069,2.7322553675156695e-06,0.9987066702534554,0.9999616582643477
WebAttack,411,0.9595959595959596,0.9245742092457421,0.9417596034696406,4.359898741351732e-05,0.9713949904326031,0.9997262201054967
Bot,387,0.9948586118251928,1.0,0.9974226804123711,5.449517036552635e-06,0.9999733952781651,0.9999999718371213
Infiltration,7378,0.9998437255821222,0.8671726755218216,0.9287943674239675,2.7776697572872166e-06,0.9809335750093399,0.9993607521344202
