class,RandomForest,XGBoost,MLP
Benign,0.9999544126774838,0.9999298656576673,0.9998807716180343
DoS,0.9213002084389612,0.9213283758661484,0.9213002084389612
DDoS,1.0,1.0,1.0
PortScan,0.9687706907967336,0.9628117413374531,0.9995034208783933
BruteForce,0.9992826398852224,1.0,0.996413199426112
WebAttack,0.9513381995133819,0.9781021897810219,0.9245742092457421
Bot,0.9922480620155039,1.0,1.0
Infiltration,0.9331797235023042,0.9342640281919219,0.8671726755218216
