scheme,epsilon,accuracy,macro_f1,attack_to_benign_fnr,evasion_rate
gaussian,0.0,0.9659812638932994,0.9326451636611701,0.039638932496075356,0.08290816326530612
gaussian,0.01,0.966298825023817,0.9331710851065724,0.03924646781789639,0.08222135007849293
gaussian,0.02,0.9660606541759289,0.9325553810302862,0.039540816326530615,0.08281004709576138
gaussian,0.05,0.9655446173388377,0.9319341783966686,0.039933281004709574,0.08349686028257457
gaussian,0.1,0.9631629088599556,0.9266865635907253,0.04326923076923077,0.08899136577708006
gaussian,0.15,0.955342966020959,0.9097172405370759,0.05043171114599686,0.10812401883830455
gaussian,0.2,0.9396633852016513,0.8789169713319225,0.06573783359497645,0.14668367346938777
gaussian,0.3,0.8937361067005398,0.7963179131794513,0.12352825745682888,0.2591248037676609
fgsm_grad,0.0,0.9659812638932994,0.9326451636611701,0.039638932496075356,0.08290816326530612
fgsm_grad,0.01,0.9592330898697999,0.9127840360456063,0.04532967032967033,0.09801805337519623
fgsm_grad,0.02,0.9479199745951096,0.8700949612340915,0.05612244897959184,0.12470565149136578
fgsm_grad,0.05,0.8983407430930455,0.7089209878725293,0.11077315541601256,0.24205259026687598
fgsm_grad,0.1,0.7316211495712924,0.3732267841028591,0.2426412872841444,0.6355965463108321
fgsm_grad,0.15,0.6232931089234678,0.210119467009559,0.3656789638932496,0.8675431711145997
fgsm_grad,0.2,0.5468402667513497,0.11112144507871483,0.4489795918367347,0.9790031397174255
fgsm_grad,0.3,0.3515401714830105,0.07714554514094568,0.47517660910518056,1.0
pgd_grad,0.0,0.9659812638932994,0.9326451636611701,0.039638932496075356,0.08290816326530612
pgd_grad,0.01,0.9589949190219117,0.9119015442638316,0.04552590266875981,0.09860675039246468
pgd_grad,0.02,0.9474833280406478,0.8683993772451634,0.05690737833594976,0.12578492935635793
pgd_grad,0.05,0.8659892029215625,0.6475701980800648,0.12136970172684458,0.32152668759811615
pgd_grad,0.1,0.6955382661162274,0.3057527632597062,0.27904238618524335,0.7142857142857143
pgd_grad,0.15,0.578080342966021,0.1305840617808368,0.41012558869701726,0.9377943485086342
pgd_grad,0.2,0.35872499206097175,0.07932798929227015,0.43789246467817894,0.9999018838304553
pgd_grad,0.3,0.11587011749761829,0.032570854719928585,0.440149136577708,1.0
