class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.990245037436275,0.9999298656576673,0.9950638868096378,0.034162359379750686,0.9999954552028316,0.9999859861177951
DoS,35502,0.9998471602372073,0.9213283758661484,0.9589832297408233,1.5065232456536805e-05,0.9998899480873065,0.9999921077905661
DDoS,19029,1.0,1.0,1.0,0.0,1.0,1.0
PortScan,18124,0.9729036574487065,0.9628117413374531,0.9678313921242374,0.0013914816129734187,0.9957994177142414,0.9997952440410814
BruteForce,1394,0.9992831541218637,1.0,0.9996414485478666,2.7322553675156695e-06,1.0,1.0
WebAttack,411,0.9804878048780488,0.9781021897810219,0.9792935444579781,2.179949370675866e-05,0.9964956072426303,0.9999944639363609
Bot,387,0.9974226804123711,1.0,0.9987096774193548,2.7247585182763176e-06,0.9999999999999999,1.0
Infiltration,7378,0.9112903225806451,0.9342640281919219,0.9226341855173337,0.0018638164071397222,0.9827110657049868,0.9993992460893771
