model,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,macro_fpr,macro_pr_auc,train_time_s
XGBoost,0.9891641625293964,0.9745545251042765,0.9777696705771539,0.9890385954917867,0.971537480684833,0.004682497392489114,0.9968614367439996,121.8
RandomForest,0.9894118543680864,0.9707592421036988,0.9771656580186407,0.9892780639484343,0.9721923939653382,0.004676687561477072,0.9961237754270912,131.5
MLP,0.9895125642365648,0.9636055606411331,0.9741621203025383,0.9893142841195993,0.9724734078917412,0.004685814061006708,0.992814724361305,93.3
