class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.999644593557192,0.9863273099622326,0.9929413010670126,0.0012161751292186075,0.9997650173115837,0.9993144570187649
DoS,35502,0.9636467453368862,0.9982817869415808,0.9806585500830105,0.004028443158877942,0.9974696440650949,0.9997441176505185
DDoS,19029,0.9995271122320303,0.999684691786221,0.9996058957988492,2.583512026248482e-05,0.9999827791668245,0.9999990036203845
PortScan,18124,0.9646002991524015,0.9607150739351137,0.9626537664132688,0.0018295406392798653,0.9943513532470759,0.9996595140384874
BruteForce,1394,0.8266033254156769,0.9985652797704447,0.9044834307992202,0.0007978185673145755,0.9314923341408492,0.9998931127588149
WebAttack,411,0.17904509283819628,0.9854014598540146,0.30303030303030304,0.005060207476681354,0.8749537276007883,0.9996216978979884
Bot,387,0.9,1.0,0.9473684210526315,0.00011716461628588167,0.9378333689414438,0.9999706613210706
Infiltration,7378,0.8805701810710158,0.9293846570886419,0.9043191559512034,0.0025832328742771116,0.970739568954311,0.9980866599020832
