class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9899825525085577,0.9928778575361105,0.9914280912095915,0.034843417452113105,0.9999041135147572,0.9996666741808574
DoS,35502,0.9871275759956487,0.9201735113514732,0.9524753629949269,0.0012835578052969357,0.9988688578574506,0.9998813081871477
DDoS,19029,0.9983205626115251,0.9996321404172579,0.998975921014626,9.185820537772381e-05,0.9999745864128559,0.9999986558303461
PortScan,18124,0.9476055747668448,0.9979033325976605,0.9721042730448805,0.002863130890891808,0.9942525071706554,0.9996732624852911
BruteForce,1394,0.9836879432624114,0.9949784791965567,0.9893009985734664,6.28418734528604e-05,0.9980664174284164,0.9999752450607664
WebAttack,411,0.30687830687830686,0.9878345498783455,0.4682814302191465,0.0024987669661372114,0.9389083980028674,0.9998250835940636
Bot,387,0.9251207729468599,0.9896640826873385,0.9563046192259675,8.446751406656585e-05,0.9956704856284633,0.999480359683614
Infiltration,7378,0.9102710413694722,0.8648685280563838,0.8869891576313594,0.0017471542773336592,0.9678423201020872,0.9988897735299812
