class,support,precision,recall,f1,fpr,pr_auc,roc_auc
Benign,285167,0.9997237500575521,0.989858574098686,0.9947667042571187,0.0009486166007905138,0.99991582529039,0.9996993842922294
DoS,35502,0.9899187355134185,0.9984789589318912,0.9941804209729215,0.0010877097833619572,0.9995674082522801,0.9999474325146118
DDoS,19029,0.9971180046111926,1.0,0.9985569228347283,0.0001578812904929628,0.9999745562760767,0.9999986415748012
PortScan,18124,0.9454564654944823,0.9879717501655264,0.9662466610905756,0.002957614210291238,0.9897439912451154,0.9995800860894106
BruteForce,1394,0.9411764705882353,0.9985652797704447,0.9690219282979464,0.00023770621697386324,0.999511635086243,0.9999977597073995
WebAttack,411,0.1847974510696404,0.9878345498783455,0.3113496932515337,0.004880361653600595,0.6688387472335908,0.9992244869893918
Bot,387,0.8580931263858093,1.0,0.9236276849642004,0.00017438454516968433,0.8391161002090539,0.9999307721236926
Infiltration,7378,0.9059322033898305,0.8693412849010572,0.8872596486374326,0.0018499280583532862,0.9607087023950852,0.9977574614229596
